## S81 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 2
## Plan files scanned: 0
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 1578
## Edge types: anchored_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:T3-BATCH-S23C-MOMENT-MAPPING -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23C-MOMENT-MAPPING: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23C-SCENARIO-C-CLOSURE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23C-SCENARIO-C-CLOSURE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S24A-BERRY -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S24A-BERRY: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S24A-EIGENVALUE-RATIOS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S24A-EIGENVALUE-RATIOS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S24A-NEUTRINO -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S24A-NEUTRINO: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S24A-VSPEC -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S24A-VSPEC: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-BAPTISTA-RESULTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-BAPTISTA-RESULTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-BERRY-RESULTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-BERRY-RESULTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-CONNES-WORKSHOP -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-CONNES-WORKSHOP: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-EINSTEIN-RESULTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-EINSTEIN-RESULTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-HAWKING-COMPUTATIONS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-HAWKING-COMPUTATIONS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-KK-WORKSHOP -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-KK-WORKSHOP: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-LANDAU-RESULTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-LANDAU-RESULTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S25-SP-RESULTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S25-SP-RESULTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S26-BAPTISTA-BRIDGE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S26-BAPTISTA-BRIDGE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S26-MULTIMODE-BCS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S26-MULTIMODE-BCS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S26-P2-COOLING-TRAJECTORY -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S26-P2-COOLING-TRAJECTORY: INFO'
