## S85 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 16
## Verdict files scanned: 1
## Plan files scanned: 20
## Session .md files scanned (cited_in scope): 63
## Total edges (deduped): 205
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE: FAIL'
[EDGE:anchored_in] gates:S85-MELLIN-TEMPLATE-COMPLIANCE-LIFT -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-MELLIN-TEMPLATE-COMPLIANCE-LIFT: FAIL'
[EDGE:anchored_in] gates:S85-W0-L-MELLIN-CONE-S3-RESIDUE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W0-L-MELLIN-CONE-S3-RESIDUE: FAIL'
[EDGE:anchored_in] gates:S85-W4-4-FALSIFIER-WATCH-CERT -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-4-FALSIFIER-WATCH-CERT: PASS'
[EDGE:anchored_in] gates:S85-CF-M7-N_T-TWO-SPEED-RE-ADJUDICATION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CF-M7-N_T-TWO-SPEED-RE-ADJUDICATION: FAIL'
[EDGE:anchored_in] gates:S85-W4-5-KSTAR-3HEB-LAB-INDEP -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-5-KSTAR-3HEB-LAB-INDEP: INFO'
[EDGE:anchored_in] gates:S85-PLAN-DISCIPLINE-VAN-HOVE-CHECK -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-PLAN-DISCIPLINE-VAN-HOVE-CHECK: INFO'
[EDGE:anchored_in] gates:S85-CC-1-ETA-INVARIANT-FULL-TRIPLE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CC-1-ETA-INVARIANT-FULL-TRIPLE: INFO'
[EDGE:anchored_in] gates:S85-HOOK-WIRING-R3-YAML-NORMALIZATION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-HOOK-WIRING-R3-YAML-NORMALIZATION: FAIL'
[EDGE:anchored_in] gates:S85-W4-6-MULTI-D-JFD -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-6-MULTI-D-JFD: INFO'
[EDGE:anchored_in] gates:S85-W4-7-NULL-ELIM-MAP -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-7-NULL-ELIM-MAP: PASS'
[EDGE:anchored_in] gates:S85-W4-8-WATCHLIST-UPDATE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-8-WATCHLIST-UPDATE: PASS'
[EDGE:anchored_in] gates:S85-W8-1-KFIRAS-HIDDEN-CLOSED-FORM -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W8-1-KFIRAS-HIDDEN-CLOSED-FORM: FAIL'
[EDGE:anchored_in] gates:S85-W5-1-FI-PARITY-REGISTRY -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W5-1-FI-PARITY-REGISTRY: FAIL'
[EDGE:anchored_in] gates:S85-W7-BASELINE-HTILDE-DERIVATION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W7-BASELINE-HTILDE-DERIVATION: FAIL'
[EDGE:anchored_in] gates:S85-W8-2-CONVA-BDG-MICRO -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W8-2-CONVA-BDG-MICRO: PASS'
[EDGE:anchored_in] gates:S85-W9-BOREL-FLOOR-REGISTRY-LANDING -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W9-BOREL-FLOOR-REGISTRY-LANDING: PASS'
[EDGE:anchored_in] gates:S85-W5-2-HP0-INTRA-CORRIDOR -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W5-2-HP0-INTRA-CORRIDOR: FAIL'
[EDGE:anchored_in] gates:S85-W8-3-MUKHANOV-SASAKI-SUB-CORRIDOR-AUDIT -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W8-3-MUKHANOV-SASAKI-SUB-CORRIDOR-AUDIT: PASS'
[EDGE:anchored_in] gates:S85-W7-CC-6 -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W7-CC-6: FAIL'
