## S87 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 21
## Session .md files scanned (cited_in scope): 22
## Total edges (deduped): 147
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S87-W6-C-BETA-UV-CUTOFF-3CLASS -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W6-C-BETA-UV-CUTOFF-3CLASS: FAIL'
[EDGE:anchored_in] gates:S87-LAYER-1-2-RETROACTIVE-AUDIT-FULL-ENUMERATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-LAYER-1-2-RETROACTIVE-AUDIT-FULL-ENUMERATION: INFO'
[EDGE:anchored_in] gates:S87-W6-C-GAMMA-WEAK-PER-CLASS -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W6-C-GAMMA-WEAK-PER-CLASS: PASS'
[EDGE:anchored_in] gates:S87-LATENT-WARRANT-CHECK-QUEUE -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-LATENT-WARRANT-CHECK-QUEUE: PASS'
[EDGE:anchored_in] gates:S87-WARRANT-HEAD-EPS-H-HP1-NORM -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-WARRANT-HEAD-EPS-H-HP1-NORM: INFO'
[EDGE:anchored_in] gates:S87-CUTOFF-SQRT-ATLAS-PROPAGATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-CUTOFF-SQRT-ATLAS-PROPAGATION: FAIL'
[EDGE:anchored_in] gates:S87-W4-2-RE-RUN-UNDER-A_4 -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W4-2-RE-RUN-UNDER-A_4: FAIL'
[EDGE:anchored_in] gates:S87-MELLIN-CONE-LIVE-CHANNEL-2-LOCALIZATION-VERIFY -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-MELLIN-CONE-LIVE-CHANNEL-2-LOCALIZATION-VERIFY: PASS'
[EDGE:anchored_in] gates:S87-ETA-GV-FOLLOWUP -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-ETA-GV-FOLLOWUP: INFO'
[EDGE:anchored_in] gates:S87-HBW-AUDIT-ATLAS-A_4 -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-HBW-AUDIT-ATLAS-A_4: FAIL'
