## S86 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 21
## Verdict files scanned: 1
## Plan files scanned: 23
## Session .md files scanned (cited_in scope): 86
## Total edges (deduped): 172
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S86-CANON-PRDR-K-DISAMBIGUATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CANON-PRDR-K-DISAMBIGUATION: FAIL'
[EDGE:anchored_in] gates:S86-K_CRIT_BDG-CANONICAL-CONSTANTS-REGISTRATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-K_CRIT_BDG-CANONICAL-CONSTANTS-REGISTRATION: PASS'
[EDGE:anchored_in] gates:S86-CANONICAL-ENTRY-CONSOLIDATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CANONICAL-ENTRY-CONSOLIDATION: PASS'
[EDGE:anchored_in] gates:S86-K-FLOOR-K-WALL-LAND -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-K-FLOOR-K-WALL-LAND: FAIL'
[EDGE:anchored_in] gates:S86-R3-YAML-LIFT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-R3-YAML-LIFT: FAIL'
[EDGE:anchored_in] gates:S86-MELLIN-COMPLIANCE-LIFT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-MELLIN-COMPLIANCE-LIFT: PASS'
[EDGE:anchored_in] gates:S86-W12-4-A_N-REGULATOR-PIN-DISCIPLINE -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W12-4-A_N-REGULATOR-PIN-DISCIPLINE: FAIL'
[EDGE:anchored_in] gates:S86-EXTERNAL-CLOCK-SCAFFOLD -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-EXTERNAL-CLOCK-SCAFFOLD: PASS'
[EDGE:anchored_in] gates:S86-W3-7-PASS-CLAUSE-RE-PIN -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W3-7-PASS-CLAUSE-RE-PIN: PASS'
[EDGE:anchored_in] gates:S86-TWO-LAYER-OBSTRUCTION-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-TWO-LAYER-OBSTRUCTION-LANDING: PASS'
[EDGE:anchored_in] gates:S86-3HE-B-INVERSION-CANONICAL-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-3HE-B-INVERSION-CANONICAL-LANDING: FAIL'
[EDGE:anchored_in] gates:S86-W0-PERM-LAND-17 -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W0-PERM-LAND-17: PASS'
[EDGE:anchored_in] gates:S86-W6-W13-R-CLASS-LAND -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W6-W13-R-CLASS-LAND: PASS'
[EDGE:anchored_in] gates:S86-MELLIN-STRIP-REGISTRY-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-MELLIN-STRIP-REGISTRY-LANDING: PASS'
[EDGE:anchored_in] gates:S86-BULLETIN-4A-LAND -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-BULLETIN-4A-LAND: PASS'
[EDGE:anchored_in] gates:S86-HP1-NEAR-INVARIANCE-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-HP1-NEAR-INVARIANCE-LANDING: FAIL'
[EDGE:anchored_in] gates:S86-FI-RD-PERMANENT-REGISTRY -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-FI-RD-PERMANENT-REGISTRY: PASS'
[EDGE:anchored_in] gates:S86-BULLETIN-W0W5-FAIL-PARTITION-LAND -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-BULLETIN-W0W5-FAIL-PARTITION-LAND: PASS'
[EDGE:anchored_in] gates:S86-FALSIFIER-MASTER-INVENTORY-PROMOTION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-FALSIFIER-MASTER-INVENTORY-PROMOTION: PASS'
[EDGE:anchored_in] gates:S86-BULLETIN-S4-LAND -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-BULLETIN-S4-LAND: FAIL'
