## S85 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 54 (+ 9 in workshops/)
## Total edges (deduped): 115
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:gen-physicist -> data_provenance:sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md | match='## Round 1 — gen-physicist'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md | match='## Round 2 — landau'
[EDGE:authored_round] researchers:gen-physicist -> data_provenance:sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md | match='## Round 2 — gen-physicist'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md | match='## Round 3 — landau'
[EDGE:authored_round] researchers:gen-physicist -> data_provenance:sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2b-branch-iv-asymmetry.md | match='## Round 3 — gen-physicist'
[EDGE:participates_in] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md | match='kitaev (kitaev-quantum-chaos-theorist)'
[EDGE:authored_round] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md | match='## Round 1 — kitaev'
[EDGE:authored_round] researchers:gen-physicist -> data_provenance:sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md | match='## Round 1 — gen-physicist'
[EDGE:authored_round] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md | match='## Round 2 — kitaev'
[EDGE:authored_round] researchers:gen-physicist -> data_provenance:sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-5a-pin-drift-taxonomy.md | match='## Round 2 — gen-physicist'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='## Round 1 — tesla'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='## Round 1 — mack'
