## S92 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 14 (+ 18 in workshops/)
## Total edges (deduped): 84
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='## Round 2 — landau'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='## Round 3 — kk'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='## Round 3 — landau'
[EDGE:authored_by] gates:sessions/archive/session-92/workshops/s92-s1-w4-1-asymmetric-coupling-substrate-naturalness-audit.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-s1-w4-1-asymmetric-coupling-substrate-naturalness-audit.md | match='**Agent**: volovik-superfluid-universe-theori
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md | match='vdd (van-den-dungen-bridge-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md | match='## Round 1 — vdd'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-au-cf37-deeper-canonical-identification.md | match='## Round 2 — vdd'
