name,empirical_class,sub_bucket,criterion_R,empirical_R,error_type,value,m_0_zeta,m_2_zeta,m_6_zeta
T_CMB_GeV,ABSOLUTE,PLANCK_OBS,0,1,FN,2.3486541805581e-13,4257757520361.6167,2.3486541805581e-13,7.146532556333202e-64
rho_Lambda_obs,ABSOLUTE,PLANCK_OBS,0,1,FN,2.7e-47,3.703703703703704e+46,2.7e-47,1.4348906999999996e-233
A_s_CMB,RATIO,PLANCK_OBS,0,1,FN,2.1e-09,476190476.1904761,2.1e-09,4.084101000000002e-44
Omega_r,RATIO,PLANCK_OBS,0,1,FN,9.15e-05,10928.96174863388,9.15e-05,6.413653160718751e-21
Omega_m,RATIO,PLANCK_OBS,0,1,FN,0.315,3.1746031746031744,0.315,0.003101364196875
Omega_b,RATIO,PLANCK_OBS,0,1,FN,0.0493,20.28397565922921,0.0493,2.912289848569299e-07
Omega_DM,RATIO,PLANCK_OBS,0,1,FN,0.2657,3.763643206624012,0.2657,0.0013242127711650504
Omega_Lambda,RATIO,PLANCK_OBS,0,1,FN,0.685,1.4598540145985401,0.685,0.15081788892812506
sigma_8,RATIO,PLANCK_OBS,0,1,FN,0.811,1.2330456226880393,0.811,0.3508360971250511
rho_crit_GeV4,ABSOLUTE,PLANCK_OBS,0,1,FN,4.08e-47,2.4509803921568627e+46,4.08e-47,1.1305787424768001e-232
rho_crit_cgs,ABSOLUTE,PLANCK_OBS,0,1,FN,1.878e-29,5.324813631522897e+28,1.878e-29,2.3360274387478373e-144
eta_BBN_obs,RATIO,PLANCK_OBS,0,1,FN,6.12e-10,1633986928.1045754,6.12e-10,8.585332325683197e-47
eta_BBN_err,RATIO,PLANCK_OBS,0,1,FN,4e-12,250000000000.0,4e-12,1.0239999999999998e-57
T_BBN_GeV,ABSOLUTE,PLANCK_OBS,0,1,FN,0.001,1000.0,0.001,1e-15
T_recomb_GeV,ABSOLUTE,PLANCK_OBS,0,1,FN,2.6e-10,3846153846.1538463,2.6e-10,1.1881375999999996e-48
z_BBN,RATIO,PLANCK_OBS,0,1,FN,400000000.0,2.5e-09,400000000.0,1.024e+43
